scene,fov,our,nerf,fovea
2.00,85.00,0.42,0.33,0.39
2.00,90.00,0.41,0.33,0.39
2.00,95.00,0.40,0.34,0.38
2.00,100.00,0.39,0.33,0.37
2.00,105.00,0.38,0.33,0.36
3.00,5.00,0.53,0.45,0.01
3.00,10.00,0.66,0.40,0.13
3.00,15.00,0.72,0.41,0.23
3.00,20.00,0.78,0.39,0.30
3.00,25.00,0.82,0.40,0.36
3.00,30.00,0.87,0.41,0.42
3.00,35.00,0.88,0.40,0.45
3.00,40.00,0.89,0.39,0.47
3.00,45.00,0.89,0.38,0.48
3.00,50.00,0.88,0.37,0.49
3.00,55.00,0.87,0.36,0.51
3.00,60.00,0.86,0.36,0.53
3.00,65.00,0.85,0.38,0.54
3.00,70.00,0.83,0.38,0.55
3.00,75.00,0.82,0.38,0.55
3.00,80.00,0.80,0.38,0.55
3.00,85.00,0.79,0.39,0.55
3.00,90.00,0.77,0.40,0.55
3.00,95.00,0.76,0.40,0.55
3.00,100.00,0.75,0.40,0.55
3.00,105.00,0.74,0.40,0.55
3.00,5.00,0.43,0.46,0.00
3.00,10.00,0.58,0.45,0.07
3.00,15.00,0.63,0.43,0.16
3.00,20.00,0.71,0.44,0.25
3.00,25.00,0.78,0.43,0.34
3.00,30.00,0.82,0.41,0.38
3.00,35.00,0.85,0.39,0.39
3.00,40.00,0.84,0.37,0.40
3.00,45.00,0.83,0.34,0.40
3.00,50.00,0.80,0.33,0.41
3.00,55.00,0.77,0.32,0.41
3.00,60.00,0.75,0.31,0.41
3.00,65.00,0.74,0.30,0.42
3.00,70.00,0.72,0.30,0.42
3.00,75.00,0.71,0.30,0.42
3.00,80.00,0.71,0.29,0.42
3.00,85.00,0.70,0.29,0.42
3.00,90.00,0.70,0.29,0.42
3.00,95.00,0.69,0.29,0.43
3.00,100.00,0.68,0.29,0.43
3.00,105.00,0.67,0.29,0.43
3.00,5.00,0.10,0.35,0.01
3.00,10.00,0.12,0.40,0.10
3.00,15.00,0.21,0.41,0.20
3.00,20.00,0.28,0.41,0.30
3.00,25.00,0.33,0.42,0.36
3.00,30.00,0.37,0.40,0.39
3.00,35.00,0.42,0.38,0.43
3.00,40.00,0.42,0.36,0.44
3.00,45.00,0.43,0.34,0.45
3.00,50.00,0.45,0.34,0.48
3.00,55.00,0.45,0.33,0.50
3.00,60.00,0.46,0.34,0.52
3.00,65.00,0.47,0.35,0.53
3.00,70.00,0.47,0.35,0.53
3.00,75.00,0.47,0.35,0.54
3.00,80.00,0.47,0.36,0.53
3.00,85.00,0.47,0.37,0.54
3.00,90.00,0.47,0.37,0.54
3.00,95.00,0.48,0.38,0.54
3.00,100.00,0.48,0.39,0.55
3.00,105.00,0.48,0.39,0.54
3.00,5.00,0.21,0.50,0.00
3.00,10.00,0.20,0.51,0.10
3.00,15.00,0.25,0.49,0.14
3.00,20.00,0.31,0.46,0.20
3.00,25.00,0.35,0.43,0.30
3.00,30.00,0.40,0.40,0.37
3.00,35.00,0.41,0.37,0.39
3.00,40.00,0.41,0.34,0.40
3.00,45.00,0.41,0.33,0.41
3.00,50.00,0.41,0.31,0.42
3.00,55.00,0.40,0.29,0.42
3.00,60.00,0.38,0.28,0.41
3.00,65.00,0.37,0.26,0.40
